Strata;Plot;Individuals;Specie;Height;Diameter;Volume
2;5;1473;Pityrocarpa moniliformis;2;4.13802852;0.003120371
2;5;1474;Handroanthus selachidentatus;2.5;4.297183463;0.003828193
2;5;1475;Handroanthus selachidentatus;3.5;6.68450761;0.01027765
2;5;1476;Cenostigma bracteosum;2.5;3.501408748;0.002667057
2;5;1477;Handroanthus selachidentatus;2.5;3.183098862;0.002254153
2;5;1478;Handroanthus selachidentatus;2;3.087605896;0.001861129
2;5;1479;Handroanthus selachidentatus;3;3.819718634;0.00348042
2;5;1480;Handroanthus selachidentatus;3;4.13802852;0.004008474
2;5;1481;Pityrocarpa moniliformis;2;5.411268065;0.005009715
2;5;1482;Ziziphus joazeiro;3;6.302535746;0.008422537
2;5;1483;Cnidoscolus quercifolius;5;17.18873385;0.067833705
2;5;1484;morta;3;6.366197724;0.008573258
2;5;1485;Pityrocarpa moniliformis;2.5;4.13802852;0.003581528
2;5;1486;Handroanthus selachidentatus;2;5.729577951;0.005541421
2;5;1486;Handroanthus selachidentatus;2;3.501408748;0.002323648
2;5;1487;Handroanthus selachidentatus;2.5;3.501408748;0.002667057
2;5;1488;Handroanthus selachidentatus;3;5.729577951;0.00711859
2;5;1489;Handroanthus selachidentatus;2;3.819718634;0.002709311
2;5;1490;Handroanthus selachidentatus;3;3.565070725;0.003081436
2;5;1491;Handroanthus selachidentatus;4;5.379437077;0.007607458
2;5;1492;Diptychandra aurantiaca;3;3.087605896;0.002390833
2;5;1493;Cenostigma bracteosum;3;3.087605896;0.002390833
2;5;1494;Handroanthus selachidentatus;3;4.456338407;0.004568546
2;5;1494;Handroanthus selachidentatus;3;3.978873577;0.003740408
2;5;1495;Handroanthus selachidentatus;3;4.233521486;0.00417316
2;5;1496;Cenostigma bracteosum;3;3.183098862;0.002522866
2;5;1497;Handroanthus selachidentatus;3;3.660563691;0.003228587
2;5;1498;Handroanthus selachidentatus;4;7.034648485;0.012213673
2;5;1499;Eugenia sp.1;2;3.087605896;0.001861129
2;5;1500;Cenostigma pyramidale;3;5.411268065;0.006435552
2;5;1500;Cenostigma pyramidale;3;3.819718634;0.00348042
2;5;1500;Cenostigma pyramidale;3;4.13802852;0.004008474
2;5;1501;Cnidoscolus quercifolius;2;4.13802852;0.003120371
2;5;1502;Handroanthus selachidentatus;3;3.978873577;0.003740408
2;5;1503;Cordia oncocalyx;3;4.551831372;0.004742727
2;5;1504;Cordia oncocalyx;3;4.297183463;0.004284544
2;5;1505;Luetzelburgia bahiensis;4;4.456338407;0.005456995
2;5;1506;Handroanthus selachidentatus;4;4.456338407;0.005456995
2;5;1507;Cordia oncocalyx;4;6.175211792;0.009704573
2;5;1508;Handroanthus selachidentatus;3;3.819718634;0.00348042
2;5;1509;Handroanthus selachidentatus;4;4.774648293;0.006163566
2;5;1509;Handroanthus selachidentatus;4;4.456338407;0.005456995
2;5;1510;Cordia oncocalyx;2;3.183098862;0.001963909
2;5;1510;Cordia oncocalyx;2;3.342253805;0.002140503
2;5;1511;morta;3;3.183098862;0.002522866
2;5;1512;Cordia oncocalyx;3.5;5.888732894;0.008217637
2;5;1512;Cordia oncocalyx;3.5;6.366197724;0.009429732
2;5;1513;Cordia oncocalyx;3;3.978873577;0.003740408
2;5;1514;Cordia oncocalyx;2;3.183098862;0.001963909
2;5;1515;Cordia oncocalyx;3;3.501408748;0.002984992
2;5;1516;Cnidoscolus quercifolius;4;6.047887837;0.009354239
2;5;1516;Cnidoscolus quercifolius;4;5.411268065;0.007687079
2;5;1516;Cnidoscolus quercifolius;4;6.843662553;0.011634573
2;5;1517;Cnidoscolus quercifolius;3;7.130141451;0.010471403
2;5;1518;morta;3;3.819718634;0.00348042
2;5;1519;Jatropha mutabilis;3;3.183098862;0.002522866
2;5;1520;Luetzelburgia bahiensis;3;6.68450761;0.009344161
2;5;1520;Luetzelburgia bahiensis;3;4.456338407;0.004568546
2;5;1521;Cordia oncocalyx;3;7.321127382;0.010971455
2;5;1522;Cordia oncocalyx;2;4.13802852;0.003120371
2;5;1523;Pityrocarpa moniliformis;4;7.639437268;0.014127291
2;6;1524;Luehea ochrophylla;2;4.965634224;0.004304709
2;6;1525;Godmania dardanoi;4;7.384789359;0.01330686
2;6;1526;Pityrocarpa moniliformis;3.5;9.230986699;0.018166798
2;6;1527;Cenostigma bracteosum;3;3.819718634;0.00348042
2;6;1527;Cenostigma bracteosum;3;3.501408748;0.002984992
2;6;1528;Pityrocarpa moniliformis;4;7.321127382;0.013105082
2;6;1529;Pityrocarpa moniliformis;2;5.092958179;0.004501406
2;6;1530;Cenostigma bracteosum;3;4.774648293;0.005160081
2;6;1531;Pityrocarpa moniliformis;3;6.68450761;0.009344161
2;6;1532;Cnidoscolus quercifolius;5;21.8042272;0.103214732
2;6;1533;Pityrocarpa moniliformis;3;7.957747155;0.012710737
2;6;1534;morta;3;4.456338407;0.004568546
2;6;1535;morta;2;3.819718634;0.002709311
2;6;1536;morta;2;4.13802852;0.003120371
2;6;1537;Pityrocarpa moniliformis;2;4.901972247;0.004207791
2;6;1537;Pityrocarpa moniliformis;2;5.092958179;0.004501406
2;6;1538;Godmania dardanoi;2;5.920563883;0.005871545
2;6;1539;Eugenia sp.1;2;3.183098862;0.001963909
2;6;1540;Pityrocarpa moniliformis;4;8.148733086;0.015831549
2;6;1541;Anadenanthera colubrina;4;6.68450761;0.011161328
2;6;1542;Pityrocarpa moniliformis;4.5;11.4591559;0.031075526
2;6;1543;Annona leptopetala;2;3.565070725;0.002398724
2;6;1544;Pityrocarpa moniliformis;3;5.920563883;0.007542672
2;6;1544;Pityrocarpa moniliformis;3;3.819718634;0.00348042
2;6;1545;Godmania dardanoi;4;7.321127382;0.013105082
2;6;1546;Senegalia tenuifolia;3;7.957747155;0.012710737
2;6;1546;Senegalia tenuifolia;3;3.819718634;0.00348042
2;6;1546;Senegalia tenuifolia;3;4.647324338;0.004919725
2;6;1546;Senegalia tenuifolia;3;3.819718634;0.00348042
2;6;1546;Senegalia tenuifolia;3;5.443099054;0.00650251
