Strata;Plot;Individuals;Specie;Height;Diameter
2;5;1494;Handroanthus selachidentatus;3;4.456338407
2;5;1494;Handroanthus selachidentatus;3;3.978873577
2;5;1495;Handroanthus selachidentatus;3;4.233521486
2;5;1496;Cenostigma bracteosum;3;3.183098862
2;5;1497;Handroanthus selachidentatus;3;3.660563691
2;5;1498;Handroanthus selachidentatus;4;7.034648485
2;5;1499;Eugenia sp.1;2;3.087605896
2;5;1500;Cenostigma pyramidale;3;5.411268065
2;5;1500;Cenostigma pyramidale;3;3.819718634
2;5;1500;Cenostigma pyramidale;3;4.13802852
2;5;1501;Cnidoscolus quercifolius;2;4.13802852
2;5;1502;Handroanthus selachidentatus;3;3.978873577
2;5;1503;Cordia oncocalyx;3;4.551831372
2;5;1504;Cordia oncocalyx;3;4.297183463
2;5;1505;Luetzelburgia bahiensis;4;4.456338407
2;5;1506;Handroanthus selachidentatus;4;4.456338407
2;5;1507;Cordia oncocalyx;4;6.175211792
2;5;1508;Handroanthus selachidentatus;3;3.819718634
2;5;1509;Handroanthus selachidentatus;4;4.774648293
2;5;1509;Handroanthus selachidentatus;4;4.456338407
2;5;1510;Cordia oncocalyx;2;3.183098862
2;5;1510;Cordia oncocalyx;2;3.342253805
2;5;1511;morta;3;3.183098862
2;5;1512;Cordia oncocalyx;3.5;5.888732894
2;5;1512;Cordia oncocalyx;3.5;6.366197724
2;5;1513;Cordia oncocalyx;3;3.978873577
2;5;1514;Cordia oncocalyx;2;3.183098862
2;5;1515;Cordia oncocalyx;3;3.501408748
2;5;1516;Cnidoscolus quercifolius;4;6.047887837
2;5;1516;Cnidoscolus quercifolius;4;5.411268065
2;5;1516;Cnidoscolus quercifolius;4;6.843662553
2;5;1517;Cnidoscolus quercifolius;3;7.130141451
2;5;1518;morta;3;3.819718634
2;5;1519;Jatropha mutabilis;3;3.183098862
2;5;1520;Luetzelburgia bahiensis;3;6.68450761
2;5;1520;Luetzelburgia bahiensis;3;4.456338407
2;5;1521;Cordia oncocalyx;3;7.321127382
2;5;1522;Cordia oncocalyx;2;4.13802852
2;5;1523;Pityrocarpa moniliformis;4;7.639437268
2;6;1524;Luehea ochrophylla;2;4.965634224
2;6;1525;Godmania dardanoi;4;7.384789359
2;6;1526;Pityrocarpa moniliformis;3.5;9.230986699
2;6;1527;Cenostigma bracteosum;3;3.819718634
2;6;1527;Cenostigma bracteosum;3;3.501408748
2;6;1528;Pityrocarpa moniliformis;4;7.321127382
2;6;1529;Pityrocarpa moniliformis;2;5.092958179
2;6;1530;Cenostigma bracteosum;3;4.774648293
2;6;1531;Pityrocarpa moniliformis;3;6.68450761
2;6;1532;Cnidoscolus quercifolius;5;21.8042272
2;6;1533;Pityrocarpa moniliformis;3;7.957747155
2;6;1534;morta;3;4.456338407
2;6;1535;morta;2;3.819718634
2;6;1536;morta;2;4.13802852
2;6;1537;Pityrocarpa moniliformis;2;4.901972247
2;6;1537;Pityrocarpa moniliformis;2;5.092958179
2;6;1538;Godmania dardanoi;2;5.920563883
2;6;1539;Eugenia sp.1;2;3.183098862
2;6;1540;Pityrocarpa moniliformis;4;8.148733086
2;6;1541;Anadenanthera colubrina;4;6.68450761
2;6;1542;Pityrocarpa moniliformis;4.5;11.4591559
2;6;1543;Annona leptopetala;2;3.565070725
2;6;1544;Pityrocarpa moniliformis;3;5.920563883
2;6;1544;Pityrocarpa moniliformis;3;3.819718634
2;6;1545;Godmania dardanoi;4;7.321127382
2;6;1546;Senegalia tenuifolia;3;7.957747155
2;6;1546;Senegalia tenuifolia;3;3.819718634
2;6;1546;Senegalia tenuifolia;3;4.647324338
2;6;1546;Senegalia tenuifolia;3;3.819718634
2;6;1546;Senegalia tenuifolia;3;5.443099054
2;6;1547;Cordia oncocalyx;3;4.13802852
2;6;1548;Handroanthus selachidentatus;2;3.501408748
2;6;1549;Cenostigma bracteosum;2;3.9152116
2;6;1550;morta;2;5.411268065
2;6;1551;Cordia incognita;3;4.61549335
2;6;1551;Cordia incognita;3;4.13802852
2;6;1552;Pityrocarpa moniliformis;4;6.68450761
2;6;1553;Handroanthus selachidentatus;4;6.68450761
2;6;1554;Pityrocarpa moniliformis;3;7.002817496
